fecha,jurisdiccion,sorteo,numero,posicion
2025-12-15,CABA,Extra,3568,1
2025-12-15,CABA,Extra,8927,2
2025-12-15,CABA,Extra,1107,3
2025-12-15,CABA,Extra,3082,4
2025-12-15,CABA,Extra,7863,5
2025-12-15,CABA,Extra,2351,6
2025-12-15,CABA,Extra,7827,7
2025-12-15,CABA,Extra,9210,8
2025-12-15,CABA,Extra,3869,9
2025-12-15,CABA,Extra,0981,10
2025-12-15,CABA,Extra,0262,11
2025-12-15,CABA,Extra,4033,12
2025-12-15,CABA,Extra,6158,13
2025-12-15,CABA,Extra,6654,14
2025-12-15,CABA,Extra,2616,15
2025-12-15,CABA,Extra,9035,16
2025-12-15,CABA,Extra,6404,17
2025-12-15,CABA,Extra,2081,18
2025-12-15,CABA,Extra,1512,19
2025-12-15,CABA,Extra,0084,20
2025-12-15,CABA,Matutina,0577,1
2025-12-15,CABA,Matutina,6929,2
2025-12-15,CABA,Matutina,1779,3
2025-12-15,CABA,Matutina,0166,4
2025-12-15,CABA,Matutina,3799,5
2025-12-15,CABA,Matutina,8212,6
2025-12-15,CABA,Matutina,2837,7
2025-12-15,CABA,Matutina,7196,8
2025-12-15,CABA,Matutina,7712,9
2025-12-15,CABA,Matutina,9529,10
2025-12-15,CABA,Matutina,2183,11
2025-12-15,CABA,Matutina,9396,12
2025-12-15,CABA,Matutina,2019,13
2025-12-15,CABA,Matutina,2603,14
2025-12-15,CABA,Matutina,1895,15
2025-12-15,CABA,Matutina,1244,16
2025-12-15,CABA,Matutina,2991,17
2025-12-15,CABA,Matutina,9424,18
2025-12-15,CABA,Matutina,9060,19
2025-12-15,CABA,Matutina,4468,20
2025-12-15,CABA,Nocturna,9139,1
2025-12-15,CABA,Nocturna,7511,2
2025-12-15,CABA,Nocturna,2491,3
2025-12-15,CABA,Nocturna,4061,4
2025-12-15,CABA,Nocturna,6753,5
2025-12-15,CABA,Nocturna,4767,6
2025-12-15,CABA,Nocturna,0799,7
2025-12-15,CABA,Nocturna,7952,8
2025-12-15,CABA,Nocturna,8855,9
2025-12-15,CABA,Nocturna,1369,10
2025-12-15,CABA,Nocturna,6496,11
2025-12-15,CABA,Nocturna,8532,12
2025-12-15,CABA,Nocturna,7259,13
2025-12-15,CABA,Nocturna,2792,14
2025-12-15,CABA,Nocturna,6885,15
2025-12-15,CABA,Nocturna,6911,16
2025-12-15,CABA,Nocturna,6958,17
2025-12-15,CABA,Nocturna,3564,18
2025-12-15,CABA,Nocturna,7823,19
2025-12-15,CABA,Nocturna,2380,20
2025-12-15,CABA,Vespertina,9950,1
2025-12-15,CABA,Vespertina,6506,2
2025-12-15,CABA,Vespertina,2262,3
2025-12-15,CABA,Vespertina,9743,4
2025-12-15,CABA,Vespertina,4769,5
2025-12-15,CABA,Vespertina,2471,6
2025-12-15,CABA,Vespertina,0416,7
2025-12-15,CABA,Vespertina,0612,8
2025-12-15,CABA,Vespertina,3704,9
2025-12-15,CABA,Vespertina,1870,10
2025-12-15,CABA,Vespertina,5634,11
2025-12-15,CABA,Vespertina,9978,12
2025-12-15,CABA,Vespertina,5889,13
2025-12-15,CABA,Vespertina,0155,14
2025-12-15,CABA,Vespertina,0399,15
2025-12-15,CABA,Vespertina,8773,16
2025-12-15,CABA,Vespertina,5469,17
2025-12-15,CABA,Vespertina,3679,18
2025-12-15,CABA,Vespertina,6808,19
2025-12-15,CABA,Vespertina,4028,20
2025-12-15,JUJUY,Extra,4529,1
2025-12-15,JUJUY,Extra,9957,2
2025-12-15,JUJUY,Extra,5823,3
2025-12-15,JUJUY,Extra,6406,4
2025-12-15,JUJUY,Extra,5658,5
2025-12-15,JUJUY,Extra,1945,6
2025-12-15,JUJUY,Extra,0211,7
2025-12-15,JUJUY,Extra,0461,8
2025-12-15,JUJUY,Extra,2601,9
2025-12-15,JUJUY,Extra,1618,10
2025-12-15,JUJUY,Extra,3504,11
2025-12-15,JUJUY,Extra,8389,12
2025-12-15,JUJUY,Extra,7131,13
2025-12-15,JUJUY,Extra,7422,14
2025-12-15,JUJUY,Extra,1695,15
2025-12-15,JUJUY,Extra,2657,16
2025-12-15,JUJUY,Extra,2766,17
